SPATIAL ANALYSIS METRICS,,Total reads,576463
SPATIAL ANALYSIS METRICS,,Total assigned reads,541706,93.97
SPATIAL ANALYSIS METRICS,,Discarded reads,31788,5.51
SPATIAL ANALYSIS METRICS,,Total UMI Family Count,146215
SPATIAL ANALYSIS METRICS,,Stitched reads,544675,94.49
SPATIAL ANALYSIS METRICS,,Assigned stitched reads,541706,99.45
SPATIAL ANALYSIS METRICS,,Stitched bases in UMI,6500472
SPATIAL ANALYSIS METRICS,,Stitched Q30 bases in UMI,6420862,98.78
SPATIAL ANALYSIS METRICS,,Stitched bases in Barcode,7583884
SPATIAL ANALYSIS METRICS,,Stitched Q30 bases in Barcode,7501519,98.91
SPATIAL ANALYSIS METRICS,,Unstitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Assigned unstitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched bases in UMI,0
SPATIAL ANALYSIS METRICS,,Unstitched Q30 bases in UMI,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched bases in Barcode,0
SPATIAL ANALYSIS METRICS,,Unstitched Q30 bases in Barcode,0,0.00
SPATIAL ANALYSIS PARAMETERS,,Stitched-read analysis,enabled
SPATIAL ANALYSIS PARAMETERS,,Single-read analysis,disabled
SPATIAL ANALYSIS PARAMETERS,,Minimum sequence length,26
SPATIAL ANALYSIS PARAMETERS,,Barcode sequence length,12
SPATIAL ANALYSIS PARAMETERS,,Barcode sequence edit distance,1
SPATIAL ANALYSIS PARAMETERS,,UMI sequence length,14
SPATIAL ANALYSIS PARAMETERS,,UMI sequence edit distance,1
SPATIAL ANALYSIS PARAMETERS,,UMI sequence merge factor,2.00
SPATIAL ANALYSIS PARAMETERS,,UMI sequence merge adjustment,1
SPATIAL ANALYSIS PARAMETERS,,Maximum stitching edit distance,1
SPATIAL ANALYSIS PARAMETERS,,Minimum stitching overlap,25
SPATIAL ANALYSIS PARAMETERS,,Maximum stitching overlap,32
SPATIAL ANALYSIS PARAMETERS,,Expected stitching overlap,26
