SPATIAL ANALYSIS METRICS,,Total reads,2243967
SPATIAL ANALYSIS METRICS,,Total assigned reads,2099695,93.57
SPATIAL ANALYSIS METRICS,,Discarded reads,132712,5.91
SPATIAL ANALYSIS METRICS,,Total UMI Family Count,497280
SPATIAL ANALYSIS METRICS,,Stitched reads,2111255,94.09
SPATIAL ANALYSIS METRICS,,Assigned stitched reads,2099695,99.45
SPATIAL ANALYSIS METRICS,,Stitched bases in UMI,25196340
SPATIAL ANALYSIS METRICS,,Stitched Q30 bases in UMI,24859815,98.66
SPATIAL ANALYSIS METRICS,,Stitched bases in Barcode,29395730
SPATIAL ANALYSIS METRICS,,Stitched Q30 bases in Barcode,29051086,98.83
SPATIAL ANALYSIS METRICS,,Unstitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Assigned unstitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched bases in UMI,0
SPATIAL ANALYSIS METRICS,,Unstitched Q30 bases in UMI,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched bases in Barcode,0
SPATIAL ANALYSIS METRICS,,Unstitched Q30 bases in Barcode,0,0.00
SPATIAL ANALYSIS PARAMETERS,,Stitched-read analysis,enabled
SPATIAL ANALYSIS PARAMETERS,,Single-read analysis,disabled
SPATIAL ANALYSIS PARAMETERS,,Minimum sequence length,26
SPATIAL ANALYSIS PARAMETERS,,Barcode sequence length,12
SPATIAL ANALYSIS PARAMETERS,,Barcode sequence edit distance,1
SPATIAL ANALYSIS PARAMETERS,,UMI sequence length,14
SPATIAL ANALYSIS PARAMETERS,,UMI sequence edit distance,1
SPATIAL ANALYSIS PARAMETERS,,UMI sequence merge factor,2.00
SPATIAL ANALYSIS PARAMETERS,,UMI sequence merge adjustment,1
SPATIAL ANALYSIS PARAMETERS,,Maximum stitching edit distance,1
SPATIAL ANALYSIS PARAMETERS,,Minimum stitching overlap,25
SPATIAL ANALYSIS PARAMETERS,,Maximum stitching overlap,32
SPATIAL ANALYSIS PARAMETERS,,Expected stitching overlap,26
