SPATIAL ANALYSIS METRICS,,Total reads,397611
SPATIAL ANALYSIS METRICS,,Total assigned reads,375963,94.56
SPATIAL ANALYSIS METRICS,,Discarded reads,19514,4.91
SPATIAL ANALYSIS METRICS,,Total UMI Family Count,98451
SPATIAL ANALYSIS METRICS,,Stitched reads,378097,95.09
SPATIAL ANALYSIS METRICS,,Assigned stitched reads,375963,99.44
SPATIAL ANALYSIS METRICS,,Stitched bases in UMI,4511556
SPATIAL ANALYSIS METRICS,,Stitched Q30 bases in UMI,4458033,98.81
SPATIAL ANALYSIS METRICS,,Stitched bases in Barcode,5263482
SPATIAL ANALYSIS METRICS,,Stitched Q30 bases in Barcode,5209088,98.97
SPATIAL ANALYSIS METRICS,,Unstitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Assigned unstitched reads,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched bases in UMI,0
SPATIAL ANALYSIS METRICS,,Unstitched Q30 bases in UMI,0,0.00
SPATIAL ANALYSIS METRICS,,Unstitched bases in Barcode,0
SPATIAL ANALYSIS METRICS,,Unstitched Q30 bases in Barcode,0,0.00
SPATIAL ANALYSIS PARAMETERS,,Stitched-read analysis,enabled
SPATIAL ANALYSIS PARAMETERS,,Single-read analysis,disabled
SPATIAL ANALYSIS PARAMETERS,,Minimum sequence length,26
SPATIAL ANALYSIS PARAMETERS,,Barcode sequence length,12
SPATIAL ANALYSIS PARAMETERS,,Barcode sequence edit distance,1
SPATIAL ANALYSIS PARAMETERS,,UMI sequence length,14
SPATIAL ANALYSIS PARAMETERS,,UMI sequence edit distance,1
SPATIAL ANALYSIS PARAMETERS,,UMI sequence merge factor,2.00
SPATIAL ANALYSIS PARAMETERS,,UMI sequence merge adjustment,1
SPATIAL ANALYSIS PARAMETERS,,Maximum stitching edit distance,1
SPATIAL ANALYSIS PARAMETERS,,Minimum stitching overlap,25
SPATIAL ANALYSIS PARAMETERS,,Maximum stitching overlap,32
SPATIAL ANALYSIS PARAMETERS,,Expected stitching overlap,26
